Formato;Ref.;Linha;Coleção;Cor;Superfície;Faces;Variação de Tonalidade;Local de Uso;Derivação;m2/cx;peças/cx;m2/pallet;cx/pallet;peso bruto/m2;peso bruto/cx;"Espessura
mm"; Preco 1 ; Preco 2 ; Preco 3 ; Preco 4 
20 x 141,5;200001;ROVERE;;única;Natural;24;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,43 ; R$ 80,46 ; R$ 90,86 ; R$ 103,86 
20 x 141,5;200006;CERATTO;Naturale;carvalho;Natural;20;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,32 ; R$ 80,20 ; R$ 90,40 ; R$ 103,11 
20 x 141,5;200011;IRONWORK;Bistrô;única;Natural;24;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 90,88 ; R$ 103,84 ; R$ 119,17 ; R$ 138,71 
20 x 141,5;200017;MADERO;Naturale;jatobá;Externo;12;V3;4;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 76,64 ; R$ 86,87 ; R$ 98,81 ; R$ 113,84 
20 x 141,5;200019;BALI;Naturale;jatobá;Natural;12;V2;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,40 ; R$ 80,39 ; R$ 90,74 ; R$ 103,66 
20 x 141,5;200028;GARDEN;Naturale;única;Natural Vein;16;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,28 ; R$ 80,11 ; R$ 90,23 ; R$ 102,85 
20 x 141,5;200029 - VILLA ART;OAKVILLE;Naturale;amêndoa;Natural Vein;8;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 70,26 ; R$ 79,22 ; R$ 89,57 ; R$ 102,64 
20 x 141,5;200030 - VILLA ART;OAKVILLE;Naturale;carvalho;Natural Vein;8;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,60 ; R$ 80,72 ; R$ 91,28 ; R$ 104,59 
20 x 141,5;200031;ECOVILLE;Naturale;cipres;Natural Vein;8;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 78,79 ; R$ 89,38 ; R$ 101,74 ; R$ 117,32 
20 x 141,5;200032;ECOVILLE;Naturale;jatobá;Natural Vein;8;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 78,40 ; R$ 88,44 ; R$ 100,05 ; R$ 114,58 
20 x 141,5;200033;MATSU;Naturale;bambu;Natural Vein;12;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 78,66 ; R$ 89,07 ; R$ 101,17 ; R$ 116,40 
20 x 141,5;200034;MATSU;Naturale;vime;Natural Vein;12;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 78,59 ; R$ 88,88 ; R$ 100,84 ; R$ 115,86 
20 x 141,5;200035 - VILLA ART;OAKVILLE;Naturale;carvalho;Externo;8;V3;4;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 71,82 ; R$ 81,41 ; R$ 92,59 ; R$ 106,78 
20 x 141,5;200036;ECOVILLE;Naturale;jatobá;Externo;8;V3;4;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 76,70 ; R$ 87,03 ; R$ 99,08 ; R$ 114,29 
20 x 141,5;200037;BRUT;Metropolitana;única;Natural Sense UP;16;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 94,53 ; R$ 106,96 ; R$ 121,40 ; R$ 139,54 
20 x 141,5;200038;CERRADO;Naturale;única;Natural Sense IN;16;V3;3;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 80,37 ; R$ 90,36 ; R$ 101,86 ; R$ 116,18 
20 x 141,5;200039;CERRADO;Naturale;única;Externo Sense IN;16;V3;4;R306;1,42;5;56,80;40;21,10;30,00;9,0; R$ 76,00 ; R$ 85,37 ; R$ 96,11 ; R$ 109,47 
24,5 x 100;2428;NATURAL;Naturale;ipê;Natural;8;V3;3;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 61,04 ; R$ 68,27 ; R$ 76,51 ; R$ 86,71 
24,5 x 100;2432;CASTANO ;Naturale;peppe;Externo;8;V3;4;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 66,94 ; R$ 75,26 ; R$ 84,82 ; R$ 96,74 
24,5 x 100;2450;CERATTO;Naturale;carvalho;Natural;10;V3;3;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 61,07 ; R$ 68,34 ; R$ 76,63 ; R$ 86,91 
24,5 x 100;2480;MADERO;Naturale;carvalho;Externo;16;V3;4;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 67,02 ; R$ 75,45 ; R$ 85,16 ; R$ 97,28 
24,5 x 100;2481;MADERO;Naturale;jatobá;Externo;16;V3;4;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 66,90 ; R$ 75,17 ; R$ 84,66 ; R$ 96,48 
24,5 x 100;24054;ECOFLOOR;Naturale;carvalho;Natural;4;V3;3;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 65,94 ; R$ 74,32 ; R$ 83,99 ; R$ 96,08 
24,5 x 100;24055;ECOFLOOR;Naturale;jatobá;Natural;4;V3;3;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 65,80 ; R$ 73,99 ; R$ 83,40 ; R$ 95,13 
24,5 x 100;24057;ECOFLOOR;Naturale;amêndola;Natural;4;V2;3;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 66,02 ; R$ 74,51 ; R$ 84,32 ; R$ 96,61 
24,5 x 100;24058;ALASKA;Naturale;-;Natural;20;V4;3;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 61,14 ; R$ 68,52 ; R$ 76,95 ; R$ 87,41 
24,5 x 100;24074;AMSTERDAM;Naturale;-;Natural;20;V4;3;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 61,16 ; R$ 68,55 ; R$ 77,00 ; R$ 87,49 
24,5 x 100;24076;BAOBÁ;Naturale;-;Externo;10;V3;4;R100;2,20;9;70,40;32;16,24;33,10;7,0; R$ 66,93 ; R$ 75,23 ; R$ 84,77 ; R$ 96,65 
24,5 x 100;24092;HANNOVER;Metropolitana;única;Natural;6;V3;3;R100;2,20;9;70,40;32;16,20;70,40;7,0; R$ 66,11 ; R$ 74,71 ; R$ 84,69 ; R$ 97,20 
35 x 71,6;350064;CLEAN;Monocolore;-;Acetinado;1;V1;2;R108;2,51;10;100,40;40;16,40;41,16;7,0; R$ 52,10 ; R$ 57,77 ; R$ 64,15 ; R$ 71,98 
50 x 100;1056;VECCHIA;Naturale;ipê;Externo;4;V2;4;R112;2,50;5;120,00;48;16,00;40,00;7,0; R$ 70,91 ; R$ 80,23 ; R$ 91,06 ; R$ 104,67 
50 x 100;10064;CLEAN;Monocolore;branco;Acetinado;1;V1;2;R112;2,50;5;120,00;48;16,00;40,00;7,0; R$ 54,75 ; R$ 60,96 ; R$ 67,97 ; R$ 76,62 
61 x 106,5;610003;ÔNIX;Marmo;-;Polido;10;V3;2;R208;1,95;3;97,50;50;20,00;39,00;8,0; R$ 77,43 ; R$ 86,49 ; R$ 96,80 ; R$ 109,54 
61 x 106,5;610015;MARMO D´ORO;Marmo;-;Polido;15;V2;2;R208;1,95;3;97,50;50;20,00;39,00;8,0; R$ 77,06 ; R$ 85,64 ; R$ 95,30 ; R$ 107,20 
61 x 106,5;610025;CABERNET;Marmo;-;Polido;8;V3;2;R208;1,95;3;97,50;50;20,00;39,00;8,0; R$ 76,87 ; R$ 85,21 ; R$ 94,56 ; R$ 106,05 
61 x 106,5;610032;PALAZZO DUCALE;Marmo;-;Polido;10;V3;2;R208;1,95;3;97,50;50;20,00;39,00;8,0; R$ 77,42 ; R$ 86,49 ; R$ 96,79 ; R$ 109,53 
61 x 106,5;610034;MILANO;Marmo;off white;Polido;8;V3;2;R208;1,95;3;97,50;50;20,00;39,00;8,0; R$ 77,42 ; R$ 86,47 ; R$ 96,76 ; R$ 109,49 
61 x 106,5;610036;PALAZZO DUCALE;Marmo;bianco;Polido;6;V3;2;R208;1,95;3;97,50;50;20,00;39,00;8,0; R$ 77,42 ; R$ 86,48 ; R$ 96,77 ; R$ 109,50 
61,4 x 123;640001;PANTHEON;Minerale;única;Natural Grit;12;V3;3;R317;2,27;3;72,64;32;20,70;48,00;9,0; R$ 63,74 ; R$ 71,22 ; R$ 79,73 ; R$ 90,26 
61,4 x 123;640002;COLOSSEO;Marmo;única;Natural Vein;12;V2;3;R317;2,27;3;72,64;32;20,70;48,00;9,0; R$ 63,75 ; R$ 71,24 ; R$ 79,76 ; R$ 90,31 
61,4 x 123;640005;HOUSE;Metropolitana;off white;Natural;12;V2;3;R317;2,27;3;72,64;32;20,70;48,00;9,0; R$ 58,87 ; R$ 65,59 ; R$ 73,19 ; R$ 82,57 
61,4 x 123;640006;HOUSE;Metropolitana;silver;Natural;12;V2;3;R317;2,27;3;72,64;32;20,70;48,00;9,0; R$ 58,84 ; R$ 65,52 ; R$ 73,06 ; R$ 82,35 
61,4 x 123;640007;AGRA;Marmo;única;Natural Soft;16;V3;3;R317;2,27;3;72,64;32;20,70;48,00;9,0; R$ 63,76 ; R$ 71,27 ; R$ 79,82 ; R$ 90,40 
63 x 108;630010;INDUSTRIAL;Metropolitana;sand;Externo;6;V3;4;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 68,24 ; R$ 76,78 ; R$ 86,61 ; R$ 98,86 
63 x 108;630011;INDUSTRIAL;Metropolitana;cement;Externo;6;V3;4;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 68,20 ; R$ 76,69 ; R$ 86,44 ; R$ 98,60 
63 x 108;630033;MARMO D´ORO;Marmo;-;Natural Soft;15;V2;3;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 69,08 ; R$ 77,83 ; R$ 87,92 ; R$ 100,52 
63 x 108;630037;CITY;Metropolitana;cement;Natural;6;V3;3;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 74,78 ; R$ 84,73 ; R$ 96,31 ; R$ 110,90 
63 x 108;630045;BERLIN;Metropolitana;white;Natural;1;V2;3;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 57,57 ; R$ 64,14 ; R$ 71,59 ; R$ 80,77 
63 x 108;630046;BERLIN;Metropolitana;cement;Natural;1;V2;3;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 57,52 ; R$ 64,05 ; R$ 71,42 ; R$ 80,51 
63 x 108;630052;CARIBBEAN;Bistrô;-;Brilhante;4;V3;2;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 74,69 ; R$ 84,51 ; R$ 95,93 ; R$ 110,27 
63 x 108;630053;MARBELLA;Bistrô;-;Brilhante;4;V3;2;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 74,69 ; R$ 84,51 ; R$ 95,91 ; R$ 110,25 
63 x 108;630057;MILANO;Marmo;off white;Natural Soft;8;V3;3;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 69,04 ; R$ 77,73 ; R$ 87,75 ; R$ 100,25 
63 x 108;630058;SANTIAGO;Minerale;única;Externo;8;V3;4;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 73,98 ; R$ 83,79 ; R$ 95,19 ; R$ 109,55 
63 x 108;630059;MARBELLA;Bistrô;-;Externo;4;V3;4;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 73,86 ; R$ 83,49 ; R$ 94,66 ; R$ 108,67 
63 x 108;630062;RENASCENCE;Marmo;única;Natural;6;V3;3;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 69,11 ; R$ 77,91 ; R$ 88,07 ; R$ 100,77 
63 x 108;630063;LAGOON;Bistrô;única;Externo;8;V3;4;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 73,92 ; R$ 83,65 ; R$ 94,94 ; R$ 109,13 
63 x 108;630064;CLEAN;Monocolore;-;Acetinado;1;V1;2;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 63,73 ; R$ 71,28 ; R$ 79,89 ; R$ 90,54 
63 x 108;630065;PALAZZO DUCALE;Marmo;bianco;Natural Soft;6;V3;3;R209;2,03;3;101,50;50;19,70;40,00;8,0; R$ 69,05 ; R$ 77,76 ; R$ 87,80 ; R$ 100,33 
71,6 x 71,6;710086;ACAPULCO;Minerale;cinza light;Externo;1;V2;4;R105;2,56;5;102,40;40;16,21;42,20;7,0; R$ 65,37 ; R$ 73,89 ; R$ 83,77 ; R$ 96,17 
71,6 x 71,6;710088;ACAPULCO;Minerale;bege claro;Externo;1;V2;4;R105;2,56;5;102,40;40;16,21;42,20;7,0; R$ 65,35 ; R$ 73,86 ; R$ 83,74 ; R$ 96,13 
71,6 x 71,6;710099;HOUSE;Metropolitana;off white;Natural;4;V2;3;R105;2,56;5;102,40;40;16,21;42,20;7,0; R$ 47,48 ; R$ 52,50 ; R$ 58,11 ; R$ 64,99 
71,6 x 71,6;710100;HOUSE;Metropolitana;beige;Natural;4;V2;3;R105;2,56;5;102,40;40;16,21;42,20;7,0; R$ 47,46 ; R$ 52,47 ; R$ 58,06 ; R$ 64,92 
71,6 x 71,6;710101;HOUSE;Metropolitana;silver;Natural;4;V2;3;R105;2,56;5;102,40;40;16,21;42,20;7,0; R$ 47,46 ; R$ 52,46 ; R$ 58,05 ; R$ 64,90 
71,6 x 71,6;710102;HOUSE;Metropolitana;cement;Natural;4;V2;3;R105;2,56;5;102,40;40;16,21;42,20;7,0; R$ 47,45 ; R$ 52,44 ; R$ 58,01 ; R$ 64,83 
71,6 x 71,6;710103;HOUSE;Metropolitana;beige;Externo;4;V2;4;R105;2,56;5;102,40;40;16,21;42,20;7,0; R$ 50,86 ; R$ 56,42 ; R$ 62,66 ; R$ 70,34 
71,6 x 71,6;710104;HOUSE;Metropolitana;silver;Externo;4;V2;4;R105;2,56;5;102,40;40;16,21;42,20;7,0; R$ 50,86 ; R$ 56,42 ; R$ 62,66 ; R$ 70,33 
71,6 x 71,6;710105;HOUSE;Metropolitana;cement;Externo;4;V2;4;R105;2,56;5;102,40;40;16,21;42,20;7,0; R$ 50,85 ; R$ 56,39 ; R$ 62,62 ; R$ 70,26 
80,5 x 140;800003;COLOSSEO;Marmo;única;Polido;6;V2;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 95,60 ; R$ 108,32 ; R$ 123,13 ; R$ 141,78 
80,5 x 140;800005;PALAZZO DUCALE;Marmo;única;Polido;6;V3;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 95,59 ; R$ 108,29 ; R$ 123,07 ; R$ 141,68 
80,5 x 140;800008;ROYAL BLACK;Marmo;-;Polido;8;V2;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 112,90 ; R$ 128,69 ; R$ 147,28 ; R$ 170,89 
80,5 x 140;800014;AMAZONITA;Marmo;-;Polido;8;V3;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 113,49 ; R$ 130,13 ; R$ 149,94 ; R$ 175,34 
80,5 x 140;800021;MONTE BIANCO;Marmo;-;Polido;5;V3;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 94,99 ; R$ 106,85 ; R$ 120,50 ; R$ 137,53 
80,5 x 140;800025;ATLANTIS;Marmo;única;Polido;8;V3;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 113,29 ; R$ 129,64 ; R$ 149,04 ; R$ 173,82 
80,5 x 140;800029;BLUE MOON;Marmo;única;Polido;6;V3;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 113,48 ; R$ 130,10 ; R$ 149,89 ; R$ 175,25 
80,5 x 140;800030;AGRA;Marmo;única;Polido;8;V3;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 95,58 ; R$ 108,26 ; R$ 123,02 ; R$ 141,60 
80,5 x 140;800033;PALAZZO DUCALE BIANCO;Marmo;bianco;Polido;8;V3;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 95,61 ; R$ 108,34 ; R$ 123,16 ; R$ 141,83 
80,5 x 140;800034;IRONWORK;Bistrô;única;Natural;6;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 107,48 ; R$ 123,61 ; R$ 142,92 ; R$ 167,81 
80,5 x 140;800036;MONTE BIANCO;Marmo;-;Natural Soft;5;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 91,72 ; R$ 104,59 ; R$ 119,75 ; R$ 139,03 
80,5 x 140;800037;COLOSSEO;Marmo;única;Natural Vein;6;V2;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 102,88 ; R$ 118,31 ; R$ 136,80 ; R$ 160,62 
80,5 x 140;800039;TAIKÔ;Naturale;carvalho;Externo ;4;V2;4;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,87 ; R$ 133,98 ; R$ 157,51 ; R$ 188,62 
80,5 x 140;800040;TAIKÔ;Naturale;pinus;Externo ;4;V2;4;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 115,22 ; R$ 134,90 ; R$ 159,28 ; R$ 191,76 
80,5 x 140;800041;TREVI;Marmo;única;Natural Vein;8;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 91,65 ; R$ 104,41 ; R$ 119,43 ; R$ 138,49 
80,5 x 140;800042;TREVI DECOR ;Marmo;Única;Decor;8;V3;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,66 ; R$ 133,46 ; R$ 156,50 ; R$ 186,85 
80,5 x 140;800043;LE HAVRE;Minerale;única;Natural Grit;8;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 93,88 ; R$ 107,00 ; R$ 122,46 ; R$ 142,09 
80,5 x 140;800044;BLU SIENA;Marmo;blu;Natural Grit;8;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 110,75 ; R$ 127,92 ; R$ 148,66 ; R$ 175,57 
80,5 x 140;800046;DOLCE;Bistrô;bianco;Decor;1;V1;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,95 ; R$ 134,21 ; R$ 157,94 ; R$ 189,39 
80,5 x 140;800047;DOLCE;Bistrô;blu;Decor;1;V1;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,87 ; R$ 133,98 ; R$ 157,51 ; R$ 188,62 
80,5 x 140;800048;DOLCE;Bistrô;menta;Decor;1;V1;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,95 ; R$ 134,19 ; R$ 157,91 ; R$ 189,33 
80,5 x 140;800050;AGRA;Marmo;única;Natural Soft;8;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 91,69 ; R$ 104,51 ; R$ 119,61 ; R$ 138,78 
80,5 x 140;800052;AVILÉS;Minerale;única;Natural Grit;8;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 110,34 ; R$ 126,90 ; R$ 146,72 ; R$ 172,27 
80,5 x 140;800053;PALAZZO DUCALE BIANCO;Marmo;bianco;Natural Soft;8;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 91,73 ; R$ 104,60 ; R$ 119,78 ; R$ 139,08 
80,5 x 140;800054;EMANATURA CALCARIO DECOR;Decor;calcário;Decor;2;V2;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,38 ; R$ 132,77 ; R$ 155,17 ; R$ 184,51 
80,5 x 140;800056;EMANATURA ARGILA DECOR;Decor;argila;Decor;2;V2;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,14 ; R$ 132,15 ; R$ 154,00 ; R$ 182,49 
80,5 x 140;800061 - VILLA ART;EL CALAFATE;Marmo;única;Polido;8;V3;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 98,56 ; R$ 111,71 ; R$ 127,05 ; R$ 146,52 
80,5 x 140;800062 - VILLA ART;PIETRA DI TIBUR;Minerale;única;Natural Sense UP;6;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 119,25 ; R$ 135,17 ; R$ 153,72 ; R$ 177,28 
80,5 x 140;800063;TIFFANY;Marmo;green;Polido;8;V3;2;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 95,47 ; R$ 108,00 ; R$ 122,56 ; R$ 140,84 
80,5 x 140;800064;TIFFANY;Marmo;green;Natural Grit;8;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 110,60 ; R$ 127,56 ; R$ 147,97 ; R$ 174,39 
80,5 x 140;800065;RENASCENCE DECOR;Marmo;única;Decor;4;V3;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,52 ; R$ 133,11 ; R$ 155,83 ; R$ 185,66 
80,5 x 140;800066;MÂNTOVA DECOR;Bistrô;cotto;Decor;4;V3;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,35 ; R$ 132,67 ; R$ 154,98 ; R$ 184,19 
80,5 x 140;800067;MÂNTOVA DECOR;Bistrô;bianco;Decor;4;V3;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,51 ; R$ 133,08 ; R$ 155,78 ; R$ 185,58 
80,5 x 140;800068;FLOW DECOR;Metropolitana;warm;Decor;4;V2;1;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 112,78 ; R$ 128,80 ; R$ 147,73 ; R$ 171,85 
80,5 x 140;800069;FLOW DECOR;Metropolitana;concret;Decor;4;V2;1;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 112,77 ; R$ 128,77 ; R$ 147,68 ; R$ 171,76 
80,5 x 140;800070;RENASCENCE;Marmo;única;Natural Vein;6;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 102,92 ; R$ 118,43 ; R$ 137,01 ; R$ 160,98 
80,5 x 140;800071;TATAME;Bistrô;única;Natural SenseUP;4;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 135,56 ; R$ 155,91 ; R$ 180,27 ; R$ 211,66 
80,5 x 140;800072;HOUSE;Metropolitana;off white;Natural;6;V2;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 76,61 ; R$ 86,16 ; R$ 97,16 ; R$ 110,86 
80,5 x 140;800073;HOUSE;Metropolitana;silver;Natural;6;V2;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 76,59 ; R$ 86,12 ; R$ 97,07 ; R$ 110,72 
80,5 x 140;800074;ZION;Naturale;carvalho;Natural Grit;4;V3;3;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,23 ; R$ 132,38 ; R$ 154,43 ; R$ 183,23 
80,5 x 140;800075;ZION;Naturale;jatobá;Natural Grit;4;V3;3;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 113,90 ; R$ 131,56 ; R$ 152,88 ; R$ 180,56 
80,5 x 140;800076;PALAZZO DUCALE BIANCO;Marmo;bianco;Decor;8;V3;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,89 ; R$ 134,04 ; R$ 157,61 ; R$ 188,80 
80,5 x 140;800077;AGRA;Marmo;única;Decor;8;V3;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,87 ; R$ 134,00 ; R$ 157,55 ; R$ 188,68 
80,5 x 140;800078;BRUT DECOR;Metropolitana;única;Decor;4;V3;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,37 ; R$ 132,73 ; R$ 155,11 ; R$ 184,41 
80,5 x 140;800079;ELYSIUM;Marmo;única;Natural Vein;8;V2;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 103,02 ; R$ 118,68 ; R$ 137,48 ; R$ 161,78 
80,5 x 140;800080;SERENITÀ;Marmo;única;Natural Vein;8;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 102,98 ; R$ 118,58 ; R$ 137,30 ; R$ 161,48 
80,5 x 140;800081;SERENITÀ DECOR;Marmo;única;Decor;8;-;1;R308;2,25;2;72,00;32;20,90;47,00;9,0; R$ 114,58 ; R$ 133,25 ; R$ 156,10 ; R$ 186,13 
80,5 x 140;800085 - VILLA ART;NAZCA;Minerale;off white;Natural Sense IN;6;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 85,13 ; R$ 96,49 ; R$ 109,73 ; R$ 126,55 
80,5 x 140;800086 - VILLA ART;NAZCA;Minerale;grey;Natural Sense IN;6;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 92,28 ; R$ 104,60 ; R$ 118,96 ; R$ 137,19 
80,5 x 140;800087;LUNAR;Minerale;única;Natural Sense IN;8;V2;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 89,78 ; R$ 101,22 ; R$ 114,42 ; R$ 130,92 
80,5 x 140;800088;MAYTREA;Minerale;única;Natural Sense IN;8;V3;3;R314;2,25;2;63,00;28;20,90;47,00;9,0; R$ 107,60 ; R$ 123,75 ; R$ 143,09 ; R$ 168,01 
